ID de cas de test;;C001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description du cas de test;;Évaluation de la page d'accueil du site : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Créé par;;hadil dridi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revue par;;Nada mekki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Journal du testeur QA;;Commentaires d'examen : *;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Résultat du test(Réussite/Échec/Non exécuté);;Réussite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de création;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de révision;;juillet 22, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;Conditions préalables  :URL : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"accés au navigateur chrome (accés internet)		";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;URL : URL : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Implémentation;;;;;;;;Exécution ;;Bug;;;;;;Test de Confirmation ;;Smoke Testing (on production server);;;;;;;;;;;;;;;;
ID du scénario de test;Scénario de cas de test;Cas de test;Pre-Conditions;Étapes du test;Données de test;Résultats attendus;Post-Condition ;Résultats actuels;Statut (P/F);Titre;ID;Criticité (critique,majeur, mineur);Reproductibilité ( reproductible / non reproductible);Environnement;Capture d'écran;Test de Confirmation ;Deçision;Statut (P/F);Deçision;;;;;;;;;;;;;;;
C001;Tester la compatibilité sur Google Chrome;Vérifier l'affichage du site sur Google Chrome;"Accéder à lhttps://www.opencart.com/index.php?route=common/home
 du site via la dernière version de Chrome



";"1. Ouvrir Google Chrome 2. Accéder à https://www.opencart.com/index.php?route=common/home 3. Vérifier que les éléments s'affichent correctement 4. Tester la navigation du site sur différentes pages et ses fonctionnalités.



";AUCUNE;"Le site doit s'afficher correctement et toutes les fonctionnalités doivent être disponibles sans erreur.



";Aucun crash du site après le test;;pass;Compatibilité sur Chrome;C001;mineur;reproductibille;Google Chrome (Dernière version), Windows 10;;;;;;;;;;;;;;;;;;;;
C002;Tester la compatibilité sur Mozilla Firefox;Vérifier l'affichage du site sur Mozilla Firefox;"Accéder à https://www.opencart.com/index.php?route=common/home



via la dernière version de Firefox

";"1. Ouvrir Mozilla Firefox 2. Accéder à l'URL du site 3. Vérifier l'alignement des éléments, la réactivité du site et tester différentes fonctionnalités (connexion, recherche, etc.).




";AUCUNE;"Le site doit être fonctionnel et avoir le même comportement que dans Google Chrome, sans déformation des éléments ni perte de fonctionnalités.


";Le site reste stable après le test;;pass;Compatibilité sur Firefox;C002;mineur;reproductible;Mozilla Firefox (Dernière version), Windows 10;;;;;;;;;;;;;;;;;;;;
C003;Tester la compatibilité sur Safari;Vérifier l'affichage du site sur Safari;"Accéder à https://www.opencart.com/index.php?route=common/home


 via Safari sur macOS
";"1. Ouvrir Safari 2. Accéder à l'URL du site 3. Vérifier que tous les éléments sont bien alignés, tester les fonctionnalités comme le panier, la recherche, etc.




";AUCUNE;"Le site doit être complètement opérationnel, sans défauts d'affichage ni perte de fonctionnalités.

";Le site reste fonctionnel;;pass;Compatibilité sur Safari;C003;mineur;reproductible;"	Safari (Dernière version)";;;;;;;;;;;;;;;;;;;;
C004;Tester la compatibilité sur mobile (Android);Vérifier l'affichage du site sur un smartphone Android;"Accéder à https://www.opencart.com/index.php?route=common/home



via Android

";"1. Ouvrir Chrome ou Firefox sur un appareil Android 2. Accéder à l'URL du site 3. Vérifier la réactivité du site, tester les fonctionnalités comme la navigation et le panier d'achat.




";AUCUNE;"Le site doit être responsive et l'interface doit s'adapter aux dimensions de l'écran, toutes les fonctionnalités doivent être opérationnelles.


";Le site reste fluide;;Pass;Compatibilité mobile (Android);C004;mineur;reproductible;Google Chrome ou Mozilla Firefox (Dernière version), Android 13 (Samsung Galaxy S21);;;;;;;;;;;;;;;;;;;;
