ID de cas de test;;C001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description du cas de test;;Évaluation de la page d'accueil du site : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Créé par;;hadil dridi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revue par;;Nada mekki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Journal du testeur QA;;Commentaires d'examen : *;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Résultat du test(Réussite/Échec/Non exécuté);;Réussite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de création;;juillet 28, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de révision;;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;Conditions préalables  :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;accés au navigateur chrome (accés internet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;URL : URL : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Implémentation;;;;;;;;Exécution ;;Bug;;;;;;Test de Confirmation ;;Smoke Testing (on production server);;;;;;;;;;;;;;;;
ID du scénario de test;Scénario de cas de test;Cas de test;Pre-Conditions;Étapes du test;Données de test;Résultats attendus;Post-Condition ;Résultats actuels;Statut (P/F);Titre;ID;Criticité (critique,majeur, mineur);Reproductibilité ( reproductible / non reproductible);Environnement;Capture d'écran;Test de Confirmation ;Deçision;Statut (P/F);Deçision;;;;;;;;;;;;;;;
C-001; Mesurer le temps de chargement complet de la page d'accueil sous différentes conditions de réseau.;Assurer que le temps de chargement de la page d'accueil est optimal pour une bonne expérience utilisateur.;site opencat installé et configuré et  Le site est en ligne et accessible.;"Ouvrir la page d'accueil.
Mesurer le temps nécessaire pour que la page se charge complètement.
Répéter sous différentes conditions de réseau (3G, 4G, Wi-Fi).";N/A;"Le temps de chargement de la page d'accueil ne doit pas dépasser 3 secondes sur une connexion 4G, 2 secondes sur une connexion Wi-Fi, et 5 secondes sur une connexion 3G.
Les éléments de la page doivent être entièrement visibles et fonctionnels après le chargement.";"La page d'accueil doit être complètement chargée et fonctionnelle.
Tous les éléments de la page doivent être interactifs et s'afficher correctement.
Les logs de temps de chargement doivent être enregistrés pour analyse..";2.8 secondes (4G);p;Temps de Chargement de la Page d'Accueil;C-001;majeur;reproductibille;Web (Chrome, Windows 11);Oui (capture de la page des résultats de recherche);oui;;p;;;;;;;;;;;;;;;;
C-002;" Tester les performances du site lors de multiples recherches simultanées.
"; Vérifier la stabilité et la performance du système sous une charge importante;site opencart installé et configuré,plusieurs utilisateurs sont disponibles pour le test.;"Simuler 1000 utilisateurs effectuant des recherches en même temps.
Observer le temps de réponse et la stabilité du site.";N/A;"Le site doit gérer 1000 recherches simultanées sans crash.
Le temps de réponse pour chaque recherche ne doit pas dépasser 5 secondes.
Les résultats de la recherche doivent être précis et complets.";Le site reste accessible après le test.;4.5 secondes, pas de crash;pass; Test de Charge sur la Fonction de Recherche;C-002;critique;reproductible;Web (Chrome, Windows 11);Oui (capture des écrans d'inscription et de confirmation);oui;;p;;;;;;;;;;;;;;;;
C-003;  Tester la performance du site sur une période prolongée.;Identifier les éventuels problèmes de mémoire ou de performances sur une longue durée d'utilisation.;site opencart installé et configuré,Le site est en ligne et stable.;"Exécuter le site sous une charge normale pendant 24 heures.
Surveiller les indicateurs de performance (CPU, mémoire, etc.).
";N/A;"Le site doit rester stable et performant pendant 24 heures d'utilisation continue.
Il ne doit pas y avoir de fuite de mémoire ou de ralentissement significatif des performances.
Les indicateurs de performance (CPU, mémoire) doivent rester dans des limites acceptables";Le site est toujours performant après le test.;Stable avec une légère augmentation de l'utilisation de la mémoire;pass;Test d'Endurance;C-003;majeur;reproductible;Web (Chrome, Windows 11);oui;oui;;p;;;;;;;;;;;;;;;;
